fat,sugar,sodium,grade
3.0,1.0,0.01,A
3.0,18.0,0.0,C
5.5,0.0,0.132,A
4.5,0.0,0.2,A
4.0,20.0,0.08,C
8.0,11.0,0.0,B
5.0,6.0,0.09,B
6.0,8.0,0.1,B
0.0,28.0,0.01,D
1.5,16.0,0.035,C
0.0,27.0,0.04,D
0.0,11.0,0.05,B
1.0,16.0,0.1,C
5.0,20.0,0.0,C
3.5,10.0,0.055,B
0.5,7.1,0.0,B
2.0,8.0,0.0,B
0.5,16.0,0.0,C
3.5,14.0,0.0,C
3.0,17.0,0.145,C
0.5,14.0,0.085,C
1.0,14.0,0.0,C
2.0,10.0,0.06,B
2.0,10.0,0.03,B
3.0,16.0,0.11,C
0.5,16.0,0.0,C
4.5,16.0,0.0,C
2.5,21.0,0.0,C
0.0,4.0,0.0,A
0.0,1.0,0.065,A
0.0,1.0,0.32,A
0.0,2.0,0.23,A
0.0,1.0,0.2,A
5.0,6.0,0.12,B
7.0,7.0,0.16,B
5.0,6.0,0.12,B
6.0,6.0,0.0,B
6.0,5.0,0.095,A
10.0,10.0,0.16,B
5.0,6.0,0.12,B
13.0,10.0,0.135,B
6.0,6.0,0.115,B
11.0,8.0,0.18,B
6.0,6.0,0.095,B
6.0,5.0,0.0,A
6.0,5.0,0.095,A
12.0,11.0,0.17,B
4.5,6.0,0.025,B
2.1,4.4,0.006,A
3.3,4.2,0.009,A
5.2,4.7,0.018,A
4.0,5.0,0.0,A
3.0,4.0,0.004,A
1.5,2.0,0.0,A
4.5,6.0,0.025,B
6.5,8.8,0.029,B
8.0,12.0,0.015,B
7.8,10.5,0.034,B
10.0,16.0,0.03,C
16.0,14.0,0.025,C
3.5,5.0,0.02,A
22.0,19.0,0.045,C
3.5,4.0,0.005,A
4.0,5.0,0.045,A
5.0,17.0,0.0,C
0.0,13.0,0.0,C
0.0,0.0,0.0,A
23.0,0.0,1.86,C
19.0,10.0,1.41,C
7.0,5.0,0.71,B
16.0,2.0,1.19,B
22.0,0.0,2.68,D
24.0,0.0,3.26,D
16.0,4.0,2.06,C
7.0,2.0,1.44,C
5.0,2.0,1.31,C
19.0,14.0,1.14,C
24.0,15.0,1.27,C
3.0,3.0,0.13,A
6.0,0.0,0.0,A
4.0,0.0,0.0,A
25.0,0.0,0.0,C
3.9,0.118,0.0,A
22.0,0.51,0.0,C
4.5,0.0,0.155,A
6.0,9.0,0.0,B
20.0,0.0,0.005,C
4.0,6.0,0.075,B
6.0,10.0,0.105,B
7.0,12.0,0.18,B
3.0,2.0,0.085,A
9.0,6.0,0.15,B
7.0,13.0,0.25,C
6.0,7.0,0.18,B
4.5,6.0,0.17,B
3.5,6.0,0.08,B
6.2,10.5,0.032,B
3.0,4.0,0.1,A
7.0,0.0,0.0,B
2.0,1.0,0.0,A
4.5,6.0,0.055,B
22.0,27.0,0.487,D
2.0,4.0,0.005,A
4.0,5.0,0.065,A
3.5,6.0,0.04,B
3.5,4.0,0.08,A
4.0,5.0,0.085,A
7.0,12.0,0.069,B
4.0,5.0,0.01,A
8.0,10.0,0.06,B
5.0,7.0,0.09,B
5.0,7.0,0.18,B
6.0,11.0,0.065,B
6.0,10.0,0.115,B
4.0,6.0,0.0,B
1.5,0.0,1.11,B
2.0,0.0,0.48,A
1.5,0.0,0.92,B
7.0,0.0,0.27,B
16.0,0.0,0.62,B
8.0,0.0,0.5,B
8.0,0.0,0.59,B
11.0,0.0,0.0,B
2.5,2.0,0.13,A
2.0,4.0,0.095,A
3.0,6.0,0.085,B
6.0,0.0,0.23,A
4.5,9.0,0.1,B
4.5,9.0,0.1,B
0.0,0.0,0.38,A
8.0,0.0,0.02,B
1.0,0.0,0.0,A
16.0,0.0,0.47,B
22.0,0.0,0.63,C
1.0,0.0,0.015,A
0.0,4.0,0.04,A
0.5,1.0,0.01,A
0.0,6.0,0.015,B
1.5,10.0,0.26,B
3.5,6.0,0.53,B
1.0,5.0,0.74,B
1.0,3.0,0.3,A
0.0,2.0,0.46,A
1.0,0.0,0.015,A
6.0,7.0,0.1,B
1.0,3.0,0.3,A
1.0,1.0,0.35,A
0.0,4.0,0.44,A
0.5,2.0,0.47,A
2.5,4.0,0.35,A
7.0,7.0,0.08,B
19.0,0.0,0.0,C
1.5,0.0,0.0,A
1.5,0.0,0.19,A
5.0,3.0,0.055,A
5.0,10.0,0.025,B
3.5,9.0,0.035,B
5.0,7.0,0.055,B
4.5,12.0,0.05,B
3.5,7.0,0.055,B
2.5,2.0,0.115,A
1.5,7.0,0.0,B
0.0,0.0,0.0,A
9.0,0.0,0.0,B
0.0,0.0,0.0,A
5.0,10.0,0.99,B
5.0,10.0,0.99,B
1.8,0.0,0.0,A
2.3,0.4,0.07,A
5.0,0.5,0.111,A
5.2,3.0,0.095,A
0.5,3.1,0.068,A
5.5,1.0,0.175,A
2.1,1.2,0.038,A
11.0,0.0,0.17,B
3.0,0.0,0.0,A
0.0,5.0,0.2,A
0.4,7.0,0.37,B
6.0,0.0,0.15,A
5.0,0.0,0.13,A
0.0,0.0,0.31,A
9.0,0.0,0.22,B
2.5,2.0,0.21,A
0.0,0.0,0.4,A
0.0,0.0,0.09,A
3.5,0.0,0.095,A
11.0,1.0,0.39,B
1.0,6.0,0.22,B
1.0,0.0,0.2,A
0.0,2.0,0.18,A
1.0,0.0,0.2,A
13.0,5.0,0.51,B
5.0,4.0,0.49,A
17.99,0.0,0.0,C
0.0,0.0,0.135,A
2.5,2.0,0.21,A
14.55,0.0,0.0,B
0.5,8.0,0.47,B
2.0,0.0,0.13,A
14.0,0.0,0.35,B
8.0,0.0,0.24,B
8.0,1.0,0.22,B
5.0,2.0,0.2,A
4.5,2.0,0.16,A
8.0,0.0,0.24,B
5.0,2.0,0.15,A
3.0,1.0,0.06,A
5.0,0.0,0.125,A
3.0,6.0,0.03,B
6.0,9.0,0.32,B
0.5,1.0,0.15,A
6.0,2.0,0.22,A
2.0,2.0,0.17,A
6.0,4.0,0.22,A
16.0,16.0,0.53,C
0.0,0.0,0.16,A
2.0,1.0,0.18,A
1.0,0.0,0.148,A
0.0,0.0,0.17,A
0.0,0.0,0.05,A
8.0,39.0,0.21,D
5.0,0.0,0.15,A
5.7,0.5,0.124,A
2.7,0.0,0.0,A
5.5,0.0,0.0,A
5.0,0.0,0.0,A
16.15,0.0,0.0,B
10.0,3.0,1.11,B
2.0,0.0,0.005,A
9.5,0.0,0.0,B
15.0,0.0,0.0,B
19.5,0.0,0.0,C
28.0,4.0,0.0,C
21.0,0.0,0.0,C
12.0,1.0,0.53,B
9.0,0.0,0.0,B
1.98,0.0,0.0,A
9.0,13.0,0.11,C
15.0,6.0,0.15,B
9.0,13.0,0.11,C
15.0,7.0,0.09,B
0.0,0.0,0.0,A
0.0,0.0,0.01,A
2.0,4.0,0.109,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
2.5,3.8,0.01,A
1.0,2.0,0.005,A
1.3,1.9,0.018,A
1.0,2.0,0.005,A
1.0,2.0,0.005,A
3.0,4.0,0.08,A
4.0,1.0,0.4,A
1.0,6.0,1.03,B
1.0,1.0,0.55,B
3.0,1.0,0.48,A
0.5,1.0,0.73,B
1.5,4.0,0.68,B
0.0,6.0,0.04,B
1.0,1.0,0.73,B
1.5,2.0,0.41,A
1.5,3.0,0.67,B
1.0,1.0,0.34,A
1.0,1.0,0.44,A
1.5,6.0,0.75,B
0.0,3.0,0.05,A
0.0,3.0,0.05,A
3.0,2.0,1.21,B
1.0,4.0,0.6,B
1.5,9.0,0.59,B
1.0,0.0,1.3,C
2.5,2.0,0.19,A
4.5,1.0,0.41,A
1.0,1.0,0.36,A
1.0,0.0,0.62,B
1.5,1.0,1.02,B
3.0,0.0,0.4,A
1.0,0.0,0.98,B
0.0,14.0,0.22,C
2.5,1.0,1.1,B
0.5,5.0,1.19,B
1.0,4.0,0.49,A
2.0,6.0,0.92,B
0.5,0.0,0.72,B
5.0,5.0,0.44,A
1.0,4.0,0.88,B
1.0,1.0,0.78,B
4.5,8.0,0.095,B
4.0,4.0,0.08,A
1.5,2.0,0.93,B
1.5,4.0,0.8,B
2.0,0.0,0.6,B
2.0,1.0,0.66,B
0.0,8.0,0.14,B
0.0,8.0,0.63,B
0.0,8.0,0.28,B
1.0,2.0,0.3,A
2.0,3.0,0.43,A
0.0,13.0,0.4,C
2.0,1.0,0.72,B
0.5,0.0,0.18,A
13.0,0.0,0.0,B
13.0,0.0,0.0,B
100.0,0.0,0.015,D
13.0,0.0,0.0,B
2.0,3.0,0.015,A
1.5,2.0,0.02,A
2.0,2.0,0.02,A
14.92,3.54,0.152,B
2.98,0.0,0.1,A
13.0,7.0,0.14,B
13.0,7.0,0.14,B
5.3,0.6,0.275,A
4.5,0.0,0.13,A
34.7,0.9,0.65,D
4.2,0.5,0.233,A
4.3,0.6,0.245,A
8.0,1.0,0.55,B
8.0,0.0,0.3,B
6.0,3.0,0.56,B
7.0,0.0,0.0,B
14.0,0.0,0.72,B
9.0,0.0,0.86,B
2.0,0.0,0.27,A
7.0,0.0,0.53,B
19.0,0.0,0.46,C
7.0,1.0,0.25,B
28.0,0.0,0.62,C
5.0,0.0,0.0,A
19.0,0.0,0.46,C
9.0,0.0,0.52,B
1.5,0.0,0.52,B
14.0,0.0,0.72,B
9.0,1.0,0.45,B
6.0,0.0,0.76,B
3.0,0.0,0.65,B
4.5,0.0,0.61,B
5.0,2.0,0.33,A
7.0,1.0,0.28,B
7.0,0.0,0.19,B
14.0,0.0,0.75,B
14.0,0.0,0.63,B
12.0,0.0,0.42,B
8.0,0.0,0.3,B
9.0,7.0,0.025,B
11.0,14.0,0.043,C
4.0,6.0,0.035,B
10.0,10.0,0.04,B
10.0,11.0,0.07,B
5.0,6.0,0.04,B
11.0,12.0,0.13,B
3.5,5.0,0.02,A
4.5,22.0,0.025,C
12.0,12.0,0.065,B
8.0,12.0,0.055,B
9.0,0.0,0.0,B
12.0,0.0,0.0,B
12.0,0.0,0.0,B
11.0,0.0,0.0,B
11.0,0.0,0.0,B
6.0,0.0,0.0,A
16.0,0.0,0.0,B
12.0,0.0,0.0,B
20.0,0.0,0.0,C
12.0,0.0,0.0,B
13.0,0.0,0.0,B
11.0,0.0,0.0,B
3.0,5.0,0.0,A
6.0,10.0,0.0,B
1.5,0.0,0.0,A
